Price,Taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number
6830.83.85,324.85,MAD,AUH,2022-04-18 14:00,2022-04-18 23:40,UX2703,-,-,-,-,-,AUH,MAD,2022-04-23 07:30,2022-04-23 12:30,UX2702,-,-,-,-,-
64,28.84,MAD,TFN,2023-02-09 07:05,2023-02-09 09:00,UX9059,TFN,FUE,2023-02-09 15:20,2023-02-09 16:10,UX2139,FUE,LPA,2023-02-16 08:10,2023-02-16 08:50,UX2120,LPA,MAD,2023-02-16 10:00,2023-02-16 13:45,UX9161
630.84,28.84,MAD,TFN,2023-02-09 07:05,2023-02-09 09:00,UX9059,TFN,FUE,2023-02-09 15:20,2023-02-09 16:10,UX2139,FUE,LPA,2023-02-16 10:30,2023-02-16 11:10,UX2122,LPA,MAD,2023-02-16 18:00,2023-02-16 21:50,UX9165
630.84,28.84,MAD,TFN,2023-02-09 11:40,2023-02-09 13:35,UX9118,TFN,FUE,2023-02-09 15:20,2023-02-09 16:10,UX2139,FUE,LPA,2023-02-16 08:10,2023-02-16 08:50,UX2120,LPA,MAD,2023-02-16 10:00,2023-02-16 13:45,UX9161
630.84,28.84,MAD,TFN,2023-02-09 11:40,2023-02-09 13:35,UX9118,TFN,FUE,2023-02-09 15:20,2023-02-09 16:10,UX2139,FUE,LPA,2023-02-16 10:30,2023-02-16 11:10,UX2122,LPA,MAD,2023-02-16 18:00,2023-02-16 21:50,UX9165
No flights for search set: ('JFK', 'FUE', '2022-05-15', '2022-05-28')
504.38,70.38,CPH,AMS,2022-06-01 06:00,2022-06-01 07:25,UX3756,AMS,MAD,2022-06-01 19:10,2022-06-01 21:50,UX1094,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 16:50,2022-06-28 18:10,UX3771
504.38,70.38,CPH,AMS,2022-06-01 06:00,2022-06-01 07:25,UX3756,AMS,MAD,2022-06-01 19:10,2022-06-01 21:50,UX1094,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
504.38,70.38,CPH,AMS,2022-06-01 06:00,2022-06-01 07:25,UX3756,AMS,MAD,2022-06-01 19:10,2022-06-01 21:50,UX1094,MAD,AMS,2022-06-28 07:05,2022-06-28 09:45,UX1091,AMS,CPH,2022-06-28 12:20,2022-06-28 13:40,UX3786
504.38,70.38,CPH,AMS,2022-06-01 06:00,2022-06-01 07:25,UX3756,AMS,MAD,2022-06-01 19:10,2022-06-01 21:50,UX1094,MAD,AMS,2022-06-28 15:00,2022-06-28 17:40,UX1093,AMS,CPH,2022-06-28 21:10,2022-06-28 22:30,UX3774
